Device Type	Attribute	GSValue
CUCP	_3gpp-common-managed-element:ManagedElement[1]/_3gpp-nr-nrm-gnbcucpfunction:GNBCUCPFunction[1]/attributes/gNBId	1016
CUCP	_3gpp-common-managed-element:ManagedElement[1]/_3gpp-nr-nrm-gnbcucpfunction:GNBCUCPFunction[1]/_3gpp-nr-nrm-nrcellcu:NRCellCU[1]/attributes/cellLocalId	1
CUCP	_3gpp-common-managed-element:ManagedElement[1]/_3gpp-nr-nrm-gnbcucpfunction:GNBCUCPFunction[1]/_3gpp-nr-nrm-nrcellcu:NRCellCU[1]/attributes/pLMNInfoList[200 20]	{MCC:200, MNC:20}
CUCP	_3gpp-common-managed-element:ManagedElement[1]/_3gpp-nr-nrm-gnbcucpfunction:GNBCUCPFunction[1]/_3gpp-nr-nrm-ep:EP_X2C[1]	{RemoteAddress:10.101.100.11}
CUCP	_3gpp-common-managed-element:ManagedElement[1]/_3gpp-nr-nrm-gnbcucpfunction:GNBCUCPFunction[1]/_3gpp-nr-nrm-ep:EP_X2C[2]	{RemoteAddress:10.101.100.12}
CUCP	_3gpp-common-managed-element:ManagedElement[1]/commscope-ipsec-cmpv2:commscope-cmpv2/Enabled	TRUE
CUCP	_3gpp-common-managed-element:ManagedElement[1]/commscope-ipsec-cmpv2:commscope-cmpv2/CAServer	{CAServer:10.101.100.10}
CUCP	_3gpp-common-managed-element:ManagedElement[1]/commscope-ipsec-cmpv2:commscope-cmpv2/Port	1234
CUCP	_3gpp-common-managed-element:ManagedElement[1]/commscope-ipsec-cmpv2:commscope-cmpv2/URI	https://commscope-att-cmpv2.com
CUCP	_3gpp-common-managed-element:ManagedElement[1]/commscope-ipsec-cmpv2:commscope-gateway/IpSec-S1U-Gateway/Gateway[1]/SecGW	10.101.100.14
CUCP	_3gpp-common-managed-element:ManagedElement[1]/commscope-ipsec-cmpv2:commscope-gateway/IpSec-CA-Gateway/Gateway[1]/SecGW	10.101.100.15
CUCP	_3gpp-common-managed-element:ManagedElement[1]/commscope-ipsec-cmpv2:commscope-cmpv2/SACertificateIdentifer	1111
CUUP	_3gpp-common-managed-element:ManagedElement[1]/_3gpp-nr-nrm-gnbcuupfunction:GNBCUUPFunction[1]/attributes/gNBId	1016
