RP Serial Number	RP IP address	S/W version	H/W version	Location Name	RfTxPower	RP type	BandsSupported ID	Latitude Sign	Degrees Of Latitude	Degrees Of Longitude	Direction Of Altitude	Altitude	Antenna Type	BC Serial Number	Sector Instance
0005B9427A4F	10.223.5.25	6.0.00.192		UNKNOWN::UNKNOWN	127::1270	Spare::Spare		North	1.2863016128540	9.8702073097229	Depth	0	Internal	0005B9000083	1
0005B9427A51	10.223.5.26	6.0.00.192		UNKNOWN::UNKNOWN	127::0127	Spare::Spare		North	1.2862908840179	9.8702073097229	Depth	0	Internal	0005B9000083	1
0005B9428F5C	10.223.5.24	6.0.00.192		UNKNOWN::UNKNOWN	127::0127	Spare::Spare		North	1.2862908840179	9.8702073097229	Depth	0	Internal	0005B9000083	1
0005B9431B00	10.223.5.43	6.0.00.192		UNKNOWN::UNKNOWN	127::1270	Spare::Spare		North	1.2862908840179	9.8702073097229	Depth	0	Internal	0005B9000083	1
0005B9431B02	10.223.5.37	6.0.00.192		UNKNOWN::UNKNOWN	127::0127	Spare::Spare		North	1.2862908840179	9.8702073097229	Depth	0	Internal	0005B9000083	1
0005B9431B04	10.223.5.28	6.0.00.192		UNKNOWN::UNKNOWN	127::1270	Spare::Spare		North	1.2862908840179	9.8702073097229	Depth	0	Internal	0005B9000083	1
0005B9431B06	10.223.5.34	6.0.00.192		UNKNOWN::UNKNOWN	127::1270	Spare::Spare		North	1.2862801551818	9.8702073097229	Depth	0	Internal	0005B9000083	1
0005B9431B25	10.223.5.42	6.0.00.192		UNKNOWN::UNKNOWN	127::0127	Spare::Spare		North	1.2863123416900	9.8702073097229	Depth	0	Internal	0005B9000083	1
0005B9431B2B	10.223.5.44	6.0.00.192		UNKNOWN::UNKNOWN	127::1270	Spare::Spare		North	1.2863016128540	9.8702073097229	Depth	0	Internal	0005B9000083	1
0005B9431B2D	10.223.5.40	6.0.00.192		UNKNOWN::UNKNOWN	127::0127	Spare::Spare		North	1.2863123416900	9.8702073097229	Depth	0	Internal	0005B9000083	1
0005B9431B2F	10.223.5.36	6.0.00.192		UNKNOWN::UNKNOWN	127::0127	Spare::Spare		North	1.2862908840179	9.8702073097229	Depth	0	Internal	0005B9000083	1
0005B9431B30	10.223.5.33	6.0.00.192		UNKNOWN::UNKNOWN	127::1270	Spare::Spare		North	1.2863016128540	9.8702073097229	Depth	0	Internal	0005B9000083	1
0005B9431B32	10.223.5.22	6.0.00.192		UNKNOWN::UNKNOWN	127::1270	Spare::Spare		North	1.2863123416900	9.8702073097229	Depth	0	Internal	0005B9000083	1
0005B9431B33	10.223.5.46	6.0.00.192		UNKNOWN::UNKNOWN	127::1270	Spare::Spare		North	1.2863123416900	9.8702073097229	Depth	0	Internal	0005B9000083	1
0005B9431B34	10.223.5.35	6.0.00.192		UNKNOWN::UNKNOWN	127::1270	Spare::Spare		North	1.2863123416900	9.8702073097229	Depth	0	Internal	0005B9000083	1
0005B9431B35	10.223.5.23	6.0.00.192		UNKNOWN::UNKNOWN	127::1270	Spare::Spare		North	1.2863016128540	9.8702073097229	Depth	0	Internal	0005B9000083	1
0005B9431B38	10.223.5.29	6.0.00.192		UNKNOWN::UNKNOWN	127::0127	Spare::Spare		North	1.2863123416900	9.8702073097229	Depth	0	Internal	0005B9000083	1
0005B9431BB3	10.223.5.27	6.0.00.192		UNKNOWN::UNKNOWN	127::0127	Spare::Spare		North	1.2863016128540	9.8702073097229	Depth	0	Internal	0005B9000083	1
0005B9431BB6	10.223.5.45	6.0.00.192		UNKNOWN::UNKNOWN	127::0127	Spare::Spare		North	1.2862908840179	9.8702073097229	Depth	0	Internal	0005B9000083	1
0005B94320B2	10.223.5.39	6.0.00.192		UNKNOWN::UNKNOWN	127::1270	Spare::Spare		North	1.2863016128540	9.8702073097229	Depth	0	Internal	0005B9000083	1
0005B94320B5	10.223.5.21	6.0.00.192		UNKNOWN::UNKNOWN	127::1270	Spare::Spare		North	1.2863123416900	9.8702073097229	Depth	0	Internal	0005B9000083	1
0005B94320B8	10.223.5.31	6.0.00.192		UNKNOWN::UNKNOWN	127::0127	Spare::Spare		North	1.2862801551818	9.8702073097229	Depth	0	Internal	0005B9000083	1
0005B94320BD	10.223.5.32	6.0.00.192		UNKNOWN::UNKNOWN	127::0127	Spare::Spare		North	1.2862908840179	9.8702073097229	Depth	0	Internal	0005B9000083	1
0005B9433365	10.223.5.30	6.0.00.192		UNKNOWN::UNKNOWN	127::1270	Spare::Spare		North	1.2863123416900	9.8702073097229	Depth	0	Internal	0005B9000083	1
0005B9433369	10.223.5.41	6.0.00.192		UNKNOWN::UNKNOWN	127::0127	Spare::Spare		North	1.2863016128540	9.8702073097229	Depth	0	Internal	0005B9000083	1
0005B943336B	10.223.5.38	6.0.00.192		UNKNOWN::UNKNOWN	127::1270	Spare::Spare		North	1.2863016128540	9.8702073097229	Depth	0	Internal	0005B9000083	1
0005B9ABB01	10.208.75.102	4.5.00.125		Bellandur::Bellandur	15::21	Spare::Spare		North	1.3934376239776	0.0016712902307	Height	512	Internal	0005B97A15	2
0005B9ABB02	10.208.75.101	4.5.00.125		Bellandur::Bellandur	15::20	Portal::Portal		North	1.3934376239776	0.0016712902307	Depth	512	Internal	0005B97A15	2
0005B9ABB1				Bellandur::Bellandur										0005B97A05
0005B9ABB5				Marathahalli::Marathahalli										0005B97A03
