Device MAC ID : 0005B94238A0	Device SwVersion : 6.0.00.181	Service Area : DeviceSpecific_0005B94238A0	Deviation check Date-Time : 20220213-143956	
Gold Standard Attribute	Deviation From GSV	Gold Standard Value	Device Configured Value
Device.Services.FAPService.1.CellConfig.LTE.RAN.NeighborList.LTECell.1.	ANC	{X_0005B9_TAC:"1",PLMNID:"311480",X_0005B9_FreqBandIndicatorPriority:"false",RSTxPower:"1",Enable:"true",X_0005B9_LBPartner:"true",X_0005B9_X2LinkEnable:"true",X_0005B9_MFBICapable:"true",CID:"1",MustInclude:"false",EUTRACarrierARFCN:"10",Blacklisted:"true",X_0005B9_MultiBandInfoList:"10",PhyCellID:"10",Alias:"2"}	
Device.Services.FAPService.1.CellConfig.LTE.EPC.QoS.1.	Yes	{X_0005B9_DSCP:"0",Enable:"true",X_0005B9_SPSPeriodUL:"200",QCI:"0",X_0005B9_SPSPeriodDL:"200"}	[{idx:"1",X_0005B9_DSCP:"20",X_0005B9_SPSPeriodUL:"40",X_0005B9_SPSPeriodDL:"40"}]
Device.FAP.X_0005B9_FileTransfer.FileDetails.1.	ANC	{Enable:"true",TransferNow:"0",TransferWindowStartTime:"10:10",TransferType:"UPLOAD",TransferWindowInterval:"86400",IncludeRadioPointLog:"true",FileName:"DEBUG,PERFORMANCE",TransferWindowDuration:"60",LocationOnServer:"/opt/hdm/logs/device/logs/onecell/0005B9/0005B9AA/0005B9AAAE/"}	
Device.QoS.Classification.1.	ANC	{Protocol:"252",DSCPMark:"5"}	
Device.Services.FAPService.1.CellConfig.LTE.EPC.PLMNList.1.	Yes	{IsPrimary:"true",PLMNID:"311480",Alias:"cpe-121",Enable:"true"}	[{idx:"1",PLMNID:"123458",IsPrimary:"true",Enable:"true",Alias:"cpe-559"}]
Device.FAP.X_0005B9_RU.1.	ANC	{Device.DeviceInfo.Location.DegreesOfLatitude:"128987",Device.DeviceInfo.Location.UncertaintySemiMinor:"62",Device.DeviceInfo.Location.Altitude:"1",Device.DeviceInfo.Location.OrientationOfMajorAxis:"88",Device.DeviceInfo.Location.DataObject:"AL",Device.DeviceInfo.DeviceType:"Portal",Device.DeviceInfo.Location.DegreesOfLongitude:"77",Device.RAN.RF.RfTxPower:"12",Device.DeviceInfo.Location.LatitudeSign:"South",Device.DeviceInfo.Location.Confidence:"49",Device.DeviceInfo.Location.DirectionOfAltitude:"Depth",Device.DeviceInfo.Location.UncertaintyAltitude:"63",Device.DeviceInfo.Location.UncertaintySemiMajor:"62"}	
Device.Services.FAPService.1.CellConfig.LTE.RAN.NeighborList.InterRATCell.CDMA2000.1.	ANC	{PNOffset:"12",ARFCN:"1250",BandClass:"1",MustInclude:"true",X_0005B9_FpcFchInitSetptRc3:"5",X_0005B9_MinProtocolRevLevel:"1",Alias:"Airvana",Enable:"true",CID:"1",Type:"1xRTT",X_0005B9_ProtocolRevLevel:"4"}	
Device.Security.X_0005B9_CMPv2.SecGWServer	Yes	"10.201.2.100"	"10.197.91.11"
Device.Time.X_0005B9_PTP.Server	Yes	"10.211.55.55"	"192.168.88.101"
Device.FAP.GPS.X_0005B9_NominalGPS.LatitudeSign	Yes	"South"	"North"
Device.FAP.GPS.X_0005B9_NominalGPS.DegreesOfLatitude	Yes	"8388608"	"2330159"
