
Site Location	gNBId	Device Type	DeviceID	Attribute	Deviation: Yes, No, ANC, ANA	GSValue	DMS Value
N/A	N/A	N/A	N/A	N/A	Device SwVersion:CUCP:6.0.00.001,CUUP:6.0.00.001,DU:6.0.00.001	N/A	Deviation check Date-Time :2022-02-09-16-04
Automation_Venue	2051	CUCP	ipsec2-2051cucp1	_3gpp-common-managed-element:ManagedElement[1]/_3gpp-nr-nrm-gnbcucpfunction:GNBCUCPFunction[1]/_3gpp-nr-nrm-ep:EP_X2C[1]	Yes	{remoteAddress:"10.101.100.11"}	[{idx:"2",remoteAddress:"10.211.55.16"},{idx:"1",remoteAddress:"10.211.55.15"}]
Automation_Venue	2051	CUCP	ipsec2-2051cucp1	_3gpp-common-managed-element:ManagedElement[1]/_3gpp-nr-nrm-gnbcucpfunction:GNBCUCPFunction[1]/_3gpp-nr-nrm-ep:EP_X2C[2]	Yes	{remoteAddress:"10.101.100.12"}	[{idx:"2",remoteAddress:"10.211.55.16"},{idx:"1",remoteAddress:"10.211.55.15"}]
Automation_Venue	2051	CUCP	ipsec2-2051cucp1	_3gpp-common-managed-element:ManagedElement[1]/_3gpp-nr-nrm-gnbcucpfunction:GNBCUCPFunction[1]/_3gpp-nr-nrm-nrcellcu:NRCellCU[1]/attributes/cellLocalId	Yes	"1"	"401"
Automation_Venue	2051	CUCP	ipsec2-2051cucp1	_3gpp-common-managed-element:ManagedElement[1]/_3gpp-nr-nrm-gnbcucpfunction:GNBCUCPFunction[1]/_3gpp-nr-nrm-nrcellcu:NRCellCU[1]/attributes/pLMNInfoList[200 20]	Yes	{mcc:"200",mnc:"20"}	[{mcc:"311",mnc:"280"}]
Automation_Venue	2051	CUCP	ipsec2-2051cucp1	_3gpp-common-managed-element:ManagedElement[1]/_3gpp-nr-nrm-gnbcucpfunction:GNBCUCPFunction[1]/attributes/gNBId	Yes	"1016"	"2051"
Automation_Venue	2051	CUCP	ipsec2-2051cucp1	_3gpp-common-managed-element:ManagedElement[1]/commscope-ipsec-cmpv2:commscope-cmpv2/CAServer	ANC	"CAServer:10.101.100.10"	
Automation_Venue	2051	CUCP	ipsec2-2051cucp1	_3gpp-common-managed-element:ManagedElement[1]/commscope-ipsec-cmpv2:commscope-cmpv2/Enabled	ANC	"TRUE"	
Automation_Venue	2051	CUCP	ipsec2-2051cucp1	_3gpp-common-managed-element:ManagedElement[1]/commscope-ipsec-cmpv2:commscope-cmpv2/Port	ANC	"1234"	
Automation_Venue	2051	CUCP	ipsec2-2051cucp1	_3gpp-common-managed-element:ManagedElement[1]/commscope-ipsec-cmpv2:commscope-cmpv2/SACertificateIdentifer	ANC	"1111"	
Automation_Venue	2051	CUCP	ipsec2-2051cucp1	_3gpp-common-managed-element:ManagedElement[1]/commscope-ipsec-cmpv2:commscope-cmpv2/URI	ANC	"https://commscope-att-cmpv2.com"	
